stock_code,transaction_date,window_id,active_sell_count,CH_rule_t,order_age_direct_count,passive_quant_amount,deal_amount,active_inferred_count,order_age_recovered_count,pi_max_price_impact_pct,order_age_fifo_count,signal_deal_sell_amount,active_sell_amount,active_buy_amount,window_close_price,large_active_sell_amount,order_age_unresolved_count,small_passive_sell_amount,active_buy_count,active_non_large_amount,window_open_price,signed_large_active_amount,small_passive_buy_amount,side_fallback_count,passive_retail_amount,order_age_missing_count,signed_mix_qr_amount,unknown_side_amount,large_active_buy_amount,Q_rule_t,signal_deal_buy_amount,window_trade_count,R_seed_t
000002.SZ,20260709,44,447,0,1256,0,4783212,1266,1266,0.0033557046979866547,10,1018765,2245035,2538177,2.99,0,0,1018765,819,293142,2.98,0,3764447,0,0,0,2745682,0,0,293142,3764447,1266,0
000002.SZ,20260709,45,330,0,763,0,4859472.8,763,763,0,0,2288371.8,2288371.8,2571101,2.99,0,0,2288371.8,433,282729.19999999995,2.99,0,2571101,0,0,0,282729.19999999995,0,0,282729.19999999995,2571101,763,0
000002.SZ,20260709,46,420,0,1169,0,5328937,1169,1169,-0.0033444816053512477,0,2001964,2001964,3326973,2.98,0,0,2001964,749,1325009,2.98,0,3326973,0,0,0,1325009,0,0,1325009,3326973,1169,0
000002.SZ,20260709,47,491,0,692,0,5725604.96,694,694,0,2,2123238.08,4262597.96,1463007,2.98,0,0,2123238.08,203,-2799590.96,2.99,0,3602366.88,0,0,0,1479128.7999999998,0,0,-2799590.96,3602366.88,694,0
000004.SZ,20260709,0,12,0,39,0,129014.39,39,39,-0.025000000000000022,0,20764.39,20764.39,108250,0.39,0,0,20764.39,27,87485.61,0.4,0,108250,0,0,0,87485.61,0,0,87485.61,108250,39,0
000004.SZ,20260709,1,10,0,16,0,42276,16,16,0,0,41807.61,3276,39000,0.39,0,0,41807.61,6,35724,0.39,0,468.39,0,0,0,-41339.22,0,0,35724,468.39,16,0
000004.SZ,20260709,2,7,0,7,0,4173,7,7,0,0,4173,4173,0,0.39,0,0,4173,0,-4173,0.39,0,0,0,0,0,-4173,0,0,-4173,0,7,0
000004.SZ,20260709,3,26,0,101,0,561419,101,101,0.07692307692307684,0,285770,298570,262849,0.42,0,0,285770,75,-35721,0.39,0,275649,0,0,0,-10121,0,0,-35721,275649,101,0
000004.SZ,20260709,4,31,0,31,0,143556,31,31,0,0,143556,143556,0,0.42,0,0,143556,0,-143556,0.42,0,0,0,0,0,-143556,0,0,-143556,0,31,0
000004.SZ,20260709,5,20,0,20,0,89880,20,20,0,0,89880,89880,0,0.42,0,0,89880,0,-89880,0.42,0,0,0,0,0,-89880,0,0,-89880,0,20,0
000004.SZ,20260709,6,28,0,28,0,490723.8,28,28,0,0,490723.8,490723.8,0,0.42,0,0,490723.8,0,-490723.8,0.42,0,0,0,0,0,-490723.8,0,0,-490723.8,0,28,0
000004.SZ,20260709,7,17,0,19,0,7737.2,19,19,-0.023809523809523832,0,6439.4,6439.4,1297.8,0.41,0,0,6439.4,2,-5141.6,0.42,0,1297.8,0,0,0,-5141.6,0,0,-5141.6,1297.8,19,0
000004.SZ,20260709,8,9,0,11,0,5574.22,11,11,0,0,2928.22,2928.22,2646,0.41,0,0,2928.22,2,-282.2199999999999,0.41,0,2646,0,0,0,-282.2199999999999,0,0,-282.2199999999999,2646,11,0
000004.SZ,20260709,9,6,0,6,0,10250,6,6,0,0,10250,10250,0,0.41,0,0,10250,0,-10250,0.41,0,0,0,0,0,-10250,0,0,-10250,0,6,0
000004.SZ,20260709,10,7,0,36,0,193213.02,36,36,0.024390243902439046,0,14448,14448,178765.02,0.42,0,0,14448,29,164317.02,0.42,0,178765.02,0,0,0,164317.02,0,0,164317.02,178765.02,36,0
